,Autor_libro,Nota_promedio_libro,Votos_libro
247,Ashutosh Gowariker,0.0,0.0
249,Giuseppe Tornatore,4.62,29.0
250,Andrew Niccol,3.89,1429.0
254,Irvine Welsh,4.09,160196.0
256,Colson Whitehead,4.05,369805.0
257,Barbara Abel,3.97,894.0
258,Aditya Chopra,4.43,46.0
259,Tiffany Schmidt,3.86,3127.0
260,Krzysztof Kieślowski,4.35,34.0
262,Michael Crichton,4.08,901088.0
263,Morticia Knight,3.91,1308.0
266,N.H. Kleinbaum,4.2,81364.0
267,S.R. Grey,3.69,1370.0
271,Laura Dave,3.87,617065.0
272,Gerald Scarfe,4.51,206.0
274,Ingmar Bergman,3.99,490.0
276,Bernard Pomerance,4.11,10776.0
280,Kate Quinn,4.31,400615.0
281,William Makepeace Thackeray,3.64,2281.0
283,Charles Yu,3.99,49080.0
284,Andrea Camilleri,4.01,5683.0
286,Stanisław Lem,4.0,92833.0
287,Neal Stephenson,4.03,264316.0
288,Donn Pearce,4.15,1273.0
290,Andrei Tarkovsky,4.31,77.0
292,Antonio Rittscher,3.0,2.0
293,Henry Farrell,3.95,4265.0
295,Dorothy M. Johnson,3.88,172.0
298,Jerome Lawrence,3.94,22809.0
299,Marcel Moussy,4.5,2.0
303,dewakensyozouko,0.0,0.0
304,Pierre Boulle,3.97,9090.0
305,Mike McCoy,4.8,5.0
306,Georges Arnaud,3.61,382.0
307,Annie Proulx,3.78,5481.0
308,Autumn Jones Lake,4.47,3023.0
309,Graham Greene,3.8,13864.0
310,Hans Christian Andersen,3.56,1508.0
311,Anne-Marie Meyer,4.09,348.0
312,Daphne du Maurier,4.24,569751.0
313,Sidney Buchman,4.3,10.0
314,Margaret Mitchell,4.3,1169491.0
315,Michel Barnier,3.9,157.0
316,Stephanie Laurens,3.91,3166.0
317,Carl Theodor Dreyer,4.5,4.0
319,Lucy Fischer,3.77,52.0
320,Nelson DeMille,4.1,62669.0
321,David Robinson,3.73,73.0
323,Kate Klimo,4.4,441.0
325,Tanvi Bhat,4.67,3.0
326,Emily Giffin,3.75,163038.0
329,Andy Weir,4.41,1011850.0
330,Jessica Julius,4.51,757.0
333,R.J. Palacio,4.39,991897.0
336,Destin Daniel Cretton,4.06,16.0
338,Jim Ottaviani,3.63,1518.0
340,Tanya Lapointe,4.59,276.0
342,Mike Dawson,3.52,533.0
343,Michael Punke,3.95,45915.0
344,Stephen Chbosky,4.22,1614722.0
345,Source Wikipedia,5.0,3.0
346,Mark Logue,3.69,9728.0
347,Kathryn Stockett,4.47,2554080.0
354,Gina Mayer,4.17,1702.0
359,Craig Borten,4.13,52.0
360,Chris Gardner,4.2,23593.0
362,Robert Ludlum,4.06,62697.0
365,Jean-Dominique Bauby,3.98,68514.0
367,Karen Paik,4.45,1111.0
368,Ian Fleming,3.74,78963.0
370,J.R.R. Tolkien,4.55,809928.0
376,Irene Trimble,3.92,714.0
377,Daniel Wallace,3.68,21041.0
381,Julia Quinn,4.04,277701.0
382,Richard Kelly,4.19,1156.0
383,Fiona Davis,3.9,47834.0
384,Charlaine Harris,3.8,1578.0
388,Banco Central do Brasil,3.0,1.0
389,Ted Hughes,3.9,10639.0
390,Taylor Lee,4.38,16.0
391,Billy Bob Thornton,4.47,79.0
393,Elizabeth Hand,3.7,580.0
395,Shea Ernshaw,3.94,9756.0
396,Robb Pearlman,3.75,348.0
397,Cora Reilly,3.86,82820.0
398,Giovanni Arpino,3.06,794.0
399,Walt Disney Company,4.37,9909.0
401,Robin McKinley,4.05,78011.0
402,Michael Blake,4.22,26333.0
403,Barry Schwartz,3.69,716.0
404,Leonore Fleischer,4.31,5319.0
405,Katsuhiro Otomo,4.4,30642.0
406,William Goldman,4.26,860406.0
407,Wim Wenders,4.52,58.0
408,Louis Malle,3.76,1343.0
410,Randall Frakes,4.15,1962.0
